forum,post_type,username,original_title,original_post,post_url,LLM_inferred_question,cluster,cluster_label,date_posted,umap_1,umap_2,umap_3,llm_cluster_name
cervical,Question,SJBC36,"New here. Colposcopy-no punch biopsy, straight to treatment under general anaesthetic.","
Hi,
Would anyone know what I should be expecting with regards to treatment and recovery please.
A bit of background history…
My smears have been abnormal since 2019, have always shown high risk HPV. I have been having them yearly since. I had my first colposcopy which showed borderline changes. Then had another a year later which showed low grade and then most recently another showed high grade. Results were high risk HPV and HSIL - high grade dyskaryosis. 
I was referred as urgent and saw a consultant oncologist on Thursday. I went in expecting and preparing for the worst case scenario would be a LLETZ there and then. Non of the leaflets prepare you for anything other than this. 
He literally started to have a look and highlight the areas. He then said I can’t treat you today it’s far too wide spread and goes up somewhere? Can’t remember exactly.
His assistant asked if he was taking a punch biopsy and he said no, straight to treatment.
I have to go in to have a Cone Biopsy, a LLETZ and a Top Hat under general anaesthetic. 
I’m not sure what to make of it all and what the recovery will be like? Do I need time off work etc? 
I was a bit taken aback and unfortunately didn’t ask any questions. Other than I can expect a call from his secretary, I have no information to prepare or will this come in the post? Any similar experiences? 
Thanks in advance for any info!
",https://community.macmillan.org.uk/cancer_types/cervical-cancer-forum/f/diagnosis-and-treatment/290825/new-here-colposcopy-no-punch-biopsy-straight-to-treatment-under-general-anaesthetic,Information on procedure details and scheduling,0,"surgery, hysterectomy, recovery, hospital, advice, experience, long, op, time, expect, stay",2025-02-09T06:00:06.600Z,6.2784557,1.6790028,3.3446379,"Hysterectomy Recovery  
"
cervical,Question,xxHHxx,Help! How to decide whether to have Chemo now or wait for 3 months for another scan!,"
I have been given the choice, chemo now or wait 3 months for a scan then decide!
How can anyone make that decision!!!!
Very brief outline 2020 stage 3c - 5 cisplatin, 25 radio, Brachy. 
2023 - probable recurrance - illiac lymphnodes - 2024 no cause for concern - all areas of concern resolved. 
2025 CT and MRI - probable recurrance on the soft tissue around the ureter left and right and L5.
No significant impact on daily life , slightly swollen leg, some pain when walking. 
I just dont know what to do, I am in a constant cycle of , you are fine, you are not fine,  you're fine ............. what if they are wrong again .....  
Any advice gratefully received. 
",https://community.macmillan.org.uk/cancer_types/cervical-cancer-forum/f/diagnosis-and-treatment/290599/help-how-to-decide-whether-to-have-chemo-now-or-wait-for-3-months-for-another-scan,Advice on whether to start chemo now or wait for scan in 3 months,3,"chemo, effects, radiotherapy, brachytherapy, experience, chemotherapy, treatment, carboplatin, advice, experiences, paclitaxel",2025-02-05T19:13:09.383Z,4.3232718,0.9869405,2.7566996,"Treatment Side Effects  
"
cervical,Question,Seffie,Post  hysterectomy hip pain,"
Hi i am 2.5 wpo, i had a RAH and have been recovering ok albeit slowly. However on Monday i started getting hip pain, a real boring pain that stops me from sleeping. i'm currently only on paracetomol and 1 or 2 ibuprofen but these dont touch it, maybe slightly take the edge off. So i rang the nurse today but as its still early days all she could suggest was more ibuprofen and maybe some gentle hip stretches. However, i found out after the call that the blood thinner injections i'm still on say i shouldnt take ibuprofen with them. So now its 3am, i cant sleep and the pain is unbearable, i've tried icing but not much help. It did go off today for abit but seems to be worse in bed. Obviously tried researching to find the cause but it seems its a common problem after hysto. Interested to hear others experiences or suggestions, thanks x
",https://community.macmillan.org.uk/cancer_types/cervical-cancer-forum/f/diagnosis-and-treatment/290291/post-hysterectomy-hip-pain,Experiences with hip pain after hysto?,6,"hysterectomy, pain, surgery, normal, bowel, post, treatment, experience, advice, lower, experiences",2025-01-31T03:00:40.417Z,5.97959,3.7979312,4.3188176,"Post-Hysterectomy Issues 
"
cervical,Question,Seffie,Post  hysterectomy hip pain,"
Hi i am 2.5 wpo, i had a RAH and have been recovering ok albeit slowly. However on Monday i started getting hip pain, a real boring pain that stops me from sleeping. i'm currently only on paracetomol and 1 or 2 ibuprofen but these dont touch it, maybe slightly take the edge off. So i rang the nurse today but as its still early days all she could suggest was more ibuprofen and maybe some gentle hip stretches. However, i found out after the call that the blood thinner injections i'm still on say i shouldnt take ibuprofen with them. So now its 3am, i cant sleep and the pain is unbearable, i've tried icing but not much help. It did go off today for abit but seems to be worse in bed. Obviously tried researching to find the cause but it seems its a common problem after hysto. Interested to hear others experiences or suggestions, thanks x
",https://community.macmillan.org.uk/cancer_types/cervical-cancer-forum/f/diagnosis-and-treatment/290291/post-hysterectomy-hip-pain,Suggestions for managing hip pain post-hysterectomy?,6,"hysterectomy, pain, surgery, normal, bowel, post, treatment, experience, advice, lower, experiences",2025-01-31T03:00:40.417Z,5.863337,3.6826096,4.3079476,"Post-Hysterectomy Issues 
"
cervical,Question,Mpop1504,7 months of bleeding being sent for a scan,"
I've been bleeding vaginally for over 7 months. Bright red blood in light amounts but every single day and every time I wipe and it's on my underwear. My bladder and bowel habits have changed the past 4 months, incontinence and urgency with both. I've started Norethisterone to stop the bleeding but am still bleeding the same as I was before. Am overdue a smear and unable to have one due to the bleeding. GP doesn't know what is causing the bleeding so is sending me for an ultrasound. Has done CA 125 bloods that came back normal.

Has anyone been in the same boat ? Or is experiencing the same thing ? Just need some support as I hardly have any.
",https://community.macmillan.org.uk/cancer_types/cervical-cancer-forum/f/diagnosis-and-treatment/290180/7-months-of-bleeding-being-sent-for-a-scan,Experiencing vaginal bleeding for 7+ months,7,"bleeding, lletz, heavy, normal, pain, coil, mirena, spotting, cancer, womb, lining",2025-01-29T17:21:36.350Z,5.1857996,3.6941762,5.934874,"Post-Treatment Bleeding  
"
cervical,Question,Mpop1504,7 months of bleeding being sent for a scan,"
I've been bleeding vaginally for over 7 months. Bright red blood in light amounts but every single day and every time I wipe and it's on my underwear. My bladder and bowel habits have changed the past 4 months, incontinence and urgency with both. I've started Norethisterone to stop the bleeding but am still bleeding the same as I was before. Am overdue a smear and unable to have one due to the bleeding. GP doesn't know what is causing the bleeding so is sending me for an ultrasound. Has done CA 125 bloods that came back normal.

Has anyone been in the same boat ? Or is experiencing the same thing ? Just need some support as I hardly have any.
",https://community.macmillan.org.uk/cancer_types/cervical-cancer-forum/f/diagnosis-and-treatment/290180/7-months-of-bleeding-being-sent-for-a-scan,Changes in bladder and bowel habits (incontinence and urgency),6,"hysterectomy, pain, surgery, normal, bowel, post, treatment, experience, advice, lower, experiences",2025-01-29T17:21:36.350Z,4.6968613,3.2859468,3.3028333,"Post-Hysterectomy Issues 
"
cervical,Question,Mpop1504,7 months of bleeding being sent for a scan,"
I've been bleeding vaginally for over 7 months. Bright red blood in light amounts but every single day and every time I wipe and it's on my underwear. My bladder and bowel habits have changed the past 4 months, incontinence and urgency with both. I've started Norethisterone to stop the bleeding but am still bleeding the same as I was before. Am overdue a smear and unable to have one due to the bleeding. GP doesn't know what is causing the bleeding so is sending me for an ultrasound. Has done CA 125 bloods that came back normal.

Has anyone been in the same boat ? Or is experiencing the same thing ? Just need some support as I hardly have any.
",https://community.macmillan.org.uk/cancer_types/cervical-cancer-forum/f/diagnosis-and-treatment/290180/7-months-of-bleeding-being-sent-for-a-scan,Need support,8,"treatment, advice, support, options, anxiety, coping, plan, cancer, life, diagnosis, fear",2025-01-29T17:21:36.350Z,4.5582566,-0.39150888,4.3106666,"Treatment & Coping  
"
cervical,Question,Granny55,Neutrophils,"
Hi 
I’ve just finished 6 rounds of paxital and carboltian .
I’ve just started rads this week with cisplatin .
I’ve been feeling fine etc but my bloods taken day prior to chemo showed very low neutrophils and low blood count . I’ve been told chemo delayed but rads still going ahead . I’ve got to have injections and blood transfusion to help with blood work .
Has anyone else had this problem? And did it take long to resolve so can commence chemo . 
val 
",https://community.macmillan.org.uk/cancer_types/cervical-cancer-forum/f/diagnosis-and-treatment/289724/neutrophils,low neutrophils and blood count after 6 rounds of paxital and carboltian,3,"chemo, effects, radiotherapy, brachytherapy, experience, chemotherapy, treatment, carboplatin, advice, experiences, paclitaxel",2025-01-22T09:48:58.960Z,3.9653385,0.59681755,2.0209277,"Treatment Side Effects  
"
cervical,Question,Granny55,Neutrophils,"
Hi 
I’ve just finished 6 rounds of paxital and carboltian .
I’ve just started rads this week with cisplatin .
I’ve been feeling fine etc but my bloods taken day prior to chemo showed very low neutrophils and low blood count . I’ve been told chemo delayed but rads still going ahead . I’ve got to have injections and blood transfusion to help with blood work .
Has anyone else had this problem? And did it take long to resolve so can commence chemo . 
val 
",https://community.macmillan.org.uk/cancer_types/cervical-cancer-forum/f/diagnosis-and-treatment/289724/neutrophils,how long it takes for low blood counts to resolve so chemo can recommence,3,"chemo, effects, radiotherapy, brachytherapy, experience, chemotherapy, treatment, carboplatin, advice, experiences, paclitaxel",2025-01-22T09:48:58.960Z,4.007196,0.71347237,2.040194,"Treatment Side Effects  
"
cervical,Question,Martha24,Preventative Treatment,"
Hi, 
Following a LLETZ procedure I had a call from my consultant to confirm that the part removed was cancer. I’ve since had an MRI, x-Ray and blood tests and am awaiting results. The consultant said that depending on these results will be looking at treatment or preventative measures and when I asked what the preventative measure meant she said a hysterectomy. 
I’ve been quite optimistic (maybe naively so) through the whole journey so far however I think reading some posts it’s dawning on me that the hysterectomy may not be the end of the line.  
I just wanted to see if in general there are answers to the following: 
after the hysterectomy would I still be monitored for any cancer for a period of time? Or would I just be discharged?
has anyone had a hysterectomy and then treatment rather than the other way round? I think this will depend on the test results I get?
thank you so much. 
",https://community.macmillan.org.uk/cancer_types/cervical-cancer-forum/f/diagnosis-and-treatment/289669/preventative-treatment,Monitoring after hysterectomy?,0,"surgery, hysterectomy, recovery, hospital, advice, experience, long, op, time, expect, stay",2025-01-21T14:21:02.243Z,6.564151,2.7338872,3.7570863,"Hysterectomy Recovery  
"
cervical,Question,Martha24,Preventative Treatment,"
Hi, 
Following a LLETZ procedure I had a call from my consultant to confirm that the part removed was cancer. I’ve since had an MRI, x-Ray and blood tests and am awaiting results. The consultant said that depending on these results will be looking at treatment or preventative measures and when I asked what the preventative measure meant she said a hysterectomy. 
I’ve been quite optimistic (maybe naively so) through the whole journey so far however I think reading some posts it’s dawning on me that the hysterectomy may not be the end of the line.  
I just wanted to see if in general there are answers to the following: 
after the hysterectomy would I still be monitored for any cancer for a period of time? Or would I just be discharged?
has anyone had a hysterectomy and then treatment rather than the other way round? I think this will depend on the test results I get?
thank you so much. 
",https://community.macmillan.org.uk/cancer_types/cervical-cancer-forum/f/diagnosis-and-treatment/289669/preventative-treatment,Hysterectomy followed by treatment?,0,"surgery, hysterectomy, recovery, hospital, advice, experience, long, op, time, expect, stay",2025-01-21T14:21:02.243Z,6.43809,2.6147678,4.3524933,"Hysterectomy Recovery  
"
cervical,Question,Elza,Cervical cancer and pelvic exenteration surgery,"
I have 8days left until pelvic exenteration surgery and I’m so scared. I already have a urostomy bag, and for sure my bladder gonna be taken out(it doesn’t work anyway),my uterus, cervix and vagina gonna be out and there isn’t any guarantees that my bowels gonna be saved and I gonna need a colostomy bag.
I had so far found only one person who had TPE and was willing to share with me her experience,but if there are more ladies who went through this major operation and you would love to share your experiences -that would be lovely . I know it’s gonna be hard,I don’t know if I gonna make it through ,but it seems I haven’t another choice left. Chemo didn’t work for me anymore and I am left with a palliative care and let the cancer take over or take a risk and try to get it out.
",https://community.macmillan.org.uk/cancer_types/cervical-cancer-forum/f/diagnosis-and-treatment/289612/cervical-cancer-and-pelvic-exenteration-surgery,Experience with pelvic exenteration surgery (TPE),0,"surgery, hysterectomy, recovery, hospital, advice, experience, long, op, time, expect, stay",2025-01-20T13:01:16.510Z,5.4657507,2.4957752,4.0858145,"Hysterectomy Recovery  
"
cervical,Question,Elza,Cervical cancer and pelvic exenteration surgery,"
I have 8days left until pelvic exenteration surgery and I’m so scared. I already have a urostomy bag, and for sure my bladder gonna be taken out(it doesn’t work anyway),my uterus, cervix and vagina gonna be out and there isn’t any guarantees that my bowels gonna be saved and I gonna need a colostomy bag.
I had so far found only one person who had TPE and was willing to share with me her experience,but if there are more ladies who went through this major operation and you would love to share your experiences -that would be lovely . I know it’s gonna be hard,I don’t know if I gonna make it through ,but it seems I haven’t another choice left. Chemo didn’t work for me anymore and I am left with a palliative care and let the cancer take over or take a risk and try to get it out.
",https://community.macmillan.org.uk/cancer_types/cervical-cancer-forum/f/diagnosis-and-treatment/289612/cervical-cancer-and-pelvic-exenteration-surgery,Share experiences with TPE,5,"similar, cancer, experience, experiences, cervical, symptoms, treatment, menopause, stage, hrt, endometrial",2025-01-20T13:01:16.510Z,3.5120113,0.48872915,5.671847,"Gynecological Cancer Journeys  
"
cervical,Question,Granny55,Low neutrophils,"
Hi 
I have just finished 6 double chemos in beginning of jan 
I’ve now started daily radiotherapy with cystsplan, unfortunately my neutrophils were really low so couldn’t have chemo . I’ve had 3 days of injections to bring my levels up and have also had blood transfusion weekend . I’m hoping this works so I can start chemo this week . Has anyone been through this ? And how long did it takes for neutrophils to recover . val x 
",https://community.macmillan.org.uk/cancer_types/cervical-cancer-forum/f/diagnosis-and-treatment/289950/low-neutrophils,Experiences with low neutrophils during treatment?,3,"chemo, effects, radiotherapy, brachytherapy, experience, chemotherapy, treatment, carboplatin, advice, experiences, paclitaxel",2025-01-26T10:23:42.670Z,3.9240985,0.5899068,2.060937,"Treatment Side Effects  
"
cervical,Question,Granny55,Low neutrophils,"
Hi 
I have just finished 6 double chemos in beginning of jan 
I’ve now started daily radiotherapy with cystsplan, unfortunately my neutrophils were really low so couldn’t have chemo . I’ve had 3 days of injections to bring my levels up and have also had blood transfusion weekend . I’m hoping this works so I can start chemo this week . Has anyone been through this ? And how long did it takes for neutrophils to recover . val x 
",https://community.macmillan.org.uk/cancer_types/cervical-cancer-forum/f/diagnosis-and-treatment/289950/low-neutrophils,How long did it take for neutrophils to recover?,3,"chemo, effects, radiotherapy, brachytherapy, experience, chemotherapy, treatment, carboplatin, advice, experiences, paclitaxel",2025-01-26T10:23:42.670Z,4.0060387,0.71813285,2.0065753,"Treatment Side Effects  
"
